Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C7, C9",0805,4,1u,
C2,0805,1,1n,
C3,0805,1,2.2n,
C4,0805,1,220n,
C5,0805,1,120n,
"C6, C8",0805,2,100n,
J1,Jack_3.5mm_CUI_SJ1-3533NG_Horizontal,1,AudioJack2,
"J2, J3",Molex_SL_171971-0003_1x03_P2.54mm_Vertical,2,Screw_Terminal_01x03,
J4,Molex_SL_171971-0002_1x02_P2.54mm_Vertical,1,Screw_Terminal_01x02,
"R1, R8",0805,2,2k,
R11,0805,1,8,
R2,0805,1,0.5k,
"R3, R6",0805,2,3.9k,
R4,0805,1,6.8k,
R5,0805,1,1.8k,
R7,0805,1,366.9,
R9,0805,1,100,
RV1,Potentiometer_ACP_CA14-H4_Horizontal,1,10k,
"U1, U3",SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,2,OPA2134,
U2,TO-220F-11_P3.4x5.08mm_StaggerOdd_Lead5.08mm_Vertical,1,LM3886,
